"filename", "language", "C", "C++", "JSON", "x86 and x86_64 Assembly", "comment", "blank", "total"
"c:\Users\pengu\OneDrive\Desktop\Console\.vs\Console\v17\DocumentLayout.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\Users\pengu\OneDrive\Desktop\Console\.vs\ProjectSettings.json", "JSON", 0, 0, 3, 0, 0, 0, 3
"c:\Users\pengu\OneDrive\Desktop\Console\.vs\VSWorkspaceState.json", "JSON", 0, 0, 6, 0, 0, 0, 6
"c:\Users\pengu\OneDrive\Desktop\Console\console\include\common.h", "C++", 0, 124, 0, 0, 0, 19, 143
"c:\Users\pengu\OneDrive\Desktop\Console\console\include\console.h", "C", -10, 0, 0, 0, 4, -11, -17
"c:\Users\pengu\OneDrive\Desktop\Console\console\include\ports.h", "C++", 0, -5, 0, 0, -5, -7, -17
"c:\Users\pengu\OneDrive\Desktop\Console\console\include\tty.h", "C++", 0, 7, 0, 0, 0, 4, 11
"c:\Users\pengu\OneDrive\Desktop\Console\console\include\video.h", "C++", 0, 26, 0, 0, 0, 8, 34
"c:\Users\pengu\OneDrive\Desktop\Console\console\src\common.c", "C", 12, 0, 0, 0, 0, 4, 16
"c:\Users\pengu\OneDrive\Desktop\Console\console\src\console.c", "C", 29, 0, 0, 0, 72, 33, 134
"c:\Users\pengu\OneDrive\Desktop\Console\console\src\main.c", "C", 41, 0, 0, 0, 0, 6, 47
"c:\Users\pengu\OneDrive\Desktop\Console\console\src\ports.c", "C", -11, 0, 0, 0, 0, -4, -15
"c:\Users\pengu\OneDrive\Desktop\Console\console\src\tty.c", "C", 23, 0, 0, 0, 7, 8, 38
"c:\Users\pengu\OneDrive\Desktop\Console\console\src\video.c", "C", 100, 0, 0, 0, 0, 30, 130
"c:\Users\pengu\OneDrive\Desktop\Console\multiply.s", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, -1, -1
"Total", "-", 184, 152, 21, 0, 78, 89, 524
